1;14;20;30;35;38;39
2;8;12;43;51;57;60
3;28;34;47;52;55;59
4;3;15;28;33;39;56
5;12;13;18;36;38;43
6;14;31;37;43;57;58
7;2;6;10;14;30;32
8;1;5;9;28;35;56
9;6;18;24;41;48;50
10;2;4;5;15;20;26
11;5;9;23;28;41;55
12;21;23;35;48;49;52
13;14;23;33;45;52;60
14;1;16;33;38;45;58
15;6;10;24;37;39;45
16;5;21;28;33;40;59
17;6;12;14;16;18;21
18;2;8;10;21;27;49
19;4;9;26;36;52;53
20;12;14;33;34;39;49
21;4;9;29;34;41;47
22;7;12;19;33;38;50
23;1;2;4;12;21;23
24;1;4;6;11;13;15
25;3;27;33;35;59;60
26;3;22;24;33;37;54
27;4;11;19;28;42;58
28;4;19;22;32;54;56
29;9;13;21;27;28;51
30;2;7;24;29;51;54
31;1;13;20;26;33;57
32;9;11;24;47;49;53
33;5;11;17;28;42;45
34;3;9;23;29;34;51
35;7;15;27;30;33;42
36;16;22;29;32;36;58
37;5;6;15;27;36;52
38;5;10;31;34;37;59
39;10;12;19;22;23;27
40;6;8;34;37;42;55
41;12;32;33;35;50;53
42;4;12;50;56;47;25
43;9;13;35;37;45;55
44;6;11;12;26;29;44
45;4;5;13;26;28;34
46;1;6;14;26;46;54
